key,code,title,project-abstract,indication,cost,link,draft-mode,key:manager
project-01,AAA-0001,"project title","project abstract",0,50000,"https://www.google.com",true,manager-01
project-02,AAA-0002,"p","project abstract",0,50000,"https://www.google.com",true,manager-01
project-03,AAA-0003,"pr","project abstract",0,50000,"https://www.google.com",true,manager-01
project-04,AAA-0004,"project title","project abstract",0,50000,"https://www.google.com",true,manager-01
project-05,AAA-0005,"krqjexNzyKphGtjBFMkbQrWBRzrmJpWpPynuUKGdkNnHRnxQVRYnSyvXdedgQUFjRzLSyNTFti","project abstract",0,50000,"https://www.google.com",true,manager-01
project-06,AAA-0006,"krqjexNzyKphGtjBFMkbQrWBRzrmJpWpPynuUKGdkNnHRnxQVRYnSyvXdedgQUFjRzLSyNTFtiD","project abstract",0,50000,"https://www.google.com",true,manager-01
project-07,AAA-0007,"サンプルテキスト","project abstract",0,50000,"https://www.google.com",true,manager-01
project-08,AAA-0008,"требовать","project abstract",0,50000,"https://www.google.com",true,manager-01
project-09,AAA-0009,"<script>console.log('javascript')</script>","project abstract",0,50000,"https://www.google.com",true,manager-01
project-10,AAA-0010,"'or 'A'='A","project abstract",0,50000,"https://www.google.com",true,manager-01
project-11,AAA-0011,"project title","p",0,50000,"https://www.google.com",true,manager-01
project-12,AAA-0012,"project title","pr",0,50000,"https://www.google.com",true,manager-01
project-13,AAA-0013,"project title","project abstract",0,50000,"https://www.google.com",true,manager-01
project-14,AAA-0014,"project title","knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnX",0,50000,"https://www.google.com",true,manager-01
project-15,AAA-0015,"project title","knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnXd",0,50000,"https://www.google.com",true,manager-01
project-16,AAA-0016,"project title","サンプルテキスト",0,50000,"https://www.google.com",true,manager-01
project-17,AAA-0017,"project title","требовать",0,50000,"https://www.google.com",true,manager-01
project-18,AAA-0018,"project title","<script>console.log('javascript')</script>",0,50000,"https://www.google.com",true,manager-01
project-19,AAA-0019,"project title","'or 'A'='A",0,50000,"https://www.google.com",true,manager-01
project-20,AAA-0020,"project title","project abstract",0,50000,"https://www.google.com",true,manager-01
project-21,AAA-0021,"project title","project abstract",1,50000,"https://www.google.com",true,manager-01
project-22,AAA-0022,"project title","project abstract",0,0,"https://www.google.com",true,manager-01
project-23,AAA-0023,"project title","project abstract",0,1,"https://www.google.com",true,manager-01
project-24,AAA-0024,"project title","project abstract",0,50000,"https://www.google.com",true,manager-01
project-25,AAA-0025,"project title","project abstract",0,99999,"https://www.google.com",true,manager-01
project-26,AAA-0026,"project title","project abstract",0,100000,"https://www.google.com",true,manager-01
project-27,AAA-0027,"project title","project abstract",0,50000,"https://www.g.com",true,manager-01
project-28,AAA-0028,"project title","project abstract",0,50000,"https://www.go.com",true,manager-01
project-29,AAA-0029,"project title","project abstract",0,50000,"https://www.google.com",true,manager-01
project-30,AAA-0030,"project title","project abstract",0,50000,"https://www.fzkPWQdvCzbEVjbJmKmUdcRPExDfEDdFfFYtmdeRCutDttRmhHktmNPntKqzZhMNuaYcMvnPbuBdVSKTtHhMdDMBkHdeqkZQZMptMDDXtYcXDkABgTBLVtRWgzgWVXrBfiBaNYyhFTuCrUnuhYGWuGtBPnNtGJmDcWcUScRcHLKCeTcVDPqqAWRUSAhWGgZchjbiBrcbiUZDypbUaYHzHeVVZzYRPNNubwGcNSwTrStZcZ.com",true,manager-01
project-31,AAA-0031,"project title","project abstract",0,50000,"https://www.fzkPWQdvCzbEVjbJmKmUdcRPExDfEDdFfFYtmdeRCutDttRmhHktmNPntKqzZhMNuaYcMvnPbuBdVSKTtHhMdDMBkHdeqkZQZMptMDDXtYcXDkABgTBLVtRWgzgWVXrBfiBaNYyhFTuCrUnuhYGWuGtBPnNtGJmDcWcUScRcHLKCeTcVDPqqAWRUSAhWGgZchjbiBrcbiUZDypbUaYHzHeVVZzYRPNNubwGcNSwTrStZcZY.com",true,manager-01
project-32,AAA-0032,"project title","project abstract",0,50000,"https://www.サンプルテキスト.com",true,manager-01
project-33,AAA-0033,"project title","project abstract",0,50000,"https://www.требовать.com",true,manager-01
project-34,AAA-0034,"project title","project abstract",0,50000,"https://www.google.com?",true,manager-01
project-35,AAA-0035,"project title","project abstract",0,50000,"https://www.google.com?a&b",true,manager-01
project-36,AAA-0036,"project title","project abstract",0,50000,,true,manager-01
project-37,AAA-0037,"project title","project abstract",0,50000,"https://www.google.com",true,manager-01
project-38,AAA-0038,"project title","project abstract",0,50000,"https://www.google.com",true,manager-02
project-39,AAA-0039,"project title","project abstract",0,50000,"https://www.google.com",false,manager-03
project-40,AAA-0040,"project title","project abstract",0,50000,"https://www.lorem-ipsum.org",false,manager-03
project-41,AAA-0041,"project title","project abstract",0,50000,"ftp://www.lorem-ipsum.org",false,manager-03
project-42,AAA-0042,"project title","project abstract",0,50000,"http://www.lorem-ipsum.org/dolor/sit.html",false,manager-03
project-43,AAA-0043,"project title","project abstract",0,50000,"http://www.lorem-ipsum.org/dolor/sit.html#dolor",false,manager-03
project-44,AAA-0044,"project title","project abstract",0,50000,"http://example.org?a=1&b=2",false,manager-03
project-45,AAA-0045,"project title","project abstract",0,50000,"http://example.org?a",false,manager-03
project-46,AAA-0046,"project title","project abstract",0,50000,"http://example.org/",false,manager-03
project-47,AAA-0047,"project title","project abstract",0,50000,"http://example.org/a",false,manager-03
project-48,AAA-0048,"project title","project abstract",0,50000,"http://example.org/a/b",false,manager-03
project-49,AAA-0049,"project title","project abstract",0,50000,"http://example.org/a/b?",false,manager-03
project-50,AAA-0050,"project title","project abstract",0,50000,"http://example.org/a/b?a&b",false,manager-03
